
@relation 'AIS'
@attribute AgentLatitude numeric
@attribute AgentRemainingTravelTimeInMinutes numeric
@attribute AgentSOG numeric
@attribute AgentCOG numeric
@attribute Latitude numeric
@attribute Longitude numeric
@attribute WeekdayInt numeric
@attribute WeekOfYearInt numeric
@attribute HourInt numeric
@attribute Length numeric
@attribute Breadth numeric
@attribute Draught numeric
@attribute SOG numeric
@attribute COG numeric
@attribute TripID numeric
@attribute time date 'yyyy-MM-dd HH:mm'
@attribute RemainingTravelTimeInMinutes2 numeric

@data
54.5,127,16.6,26,54.52,11.37,0,15,22,154,24,8.57,16.4,111.9,393533,'2016-04-11 22:50:00',1100
54.5,124,16.6,26,54.52,11.39,0,15,22,154,24,8.57,16.4,112.9,393533,'2016-04-11 22:53:00',1097
54.5,123,16.6,26,54.52,11.4,0,15,22,154,24,8.57,16.4,113.2,393533,'2016-04-11 22:54:00',1096
54.5,122,16.6,26,54.51,11.41,0,15,22,154,24,8.57,16.5,114.2,393533,'2016-04-11 22:55:00',1095
54.5,252,16.6,26,54.51,10.45,0,15,20,154,24,8.57,14.3,72.7,393533,'2016-04-11 20:45:00',1225
54.5,251,16.6,26,54.51,10.45,0,15,20,154,24,8.57,14.8,73.2,393533,'2016-04-11 20:46:00',1224
54.5,121,16.6,26,54.51,11.41,0,15,22,154,24,8.57,16.5,114.9,393533,'2016-04-11 22:56:00',1094
54.5,117,16.6,26,54.5,11.44,0,15,23,154,24,8.57,16.6,114.9,393533,'2016-04-11 23:00:00',1090
54.5,116,16.6,26,54.5,11.45,0,15,23,154,24,8.57,16.6,114.9,393533,'2016-04-11 23:01:00',1089
54.5,207,16.6,26,54.56,10.78,0,15,21,154,24,8.57,17.4,78.9,393533,'2016-04-11 21:30:00',1180
54.5,180,16.6,26,54.58,10.98,0,15,21,154,24,8.57,16,86.9,393533,'2016-04-11 21:57:00',1153
54.5,178,16.6,26,54.58,11,0,15,21,154,24,8.57,16.1,86.9,393533,'2016-04-11 21:59:00',1151
54.5,177,16.6,26,54.58,11.01,0,15,22,154,24,8.57,16,86.9,393533,'2016-04-11 22:00:00',1150
54.5,173,16.6,26,54.58,11.04,0,15,22,154,24,8.57,16.1,88.2,393533,'2016-04-11 22:04:00',1146
54.5,170,16.6,26,54.58,11.06,0,15,22,154,24,8.57,16.1,90.9,393533,'2016-04-11 22:07:00',1143
54.5,159,16.6,26,54.58,11.14,0,15,22,154,24,8.57,15.8,109.5,393533,'2016-04-11 22:18:00',1132
54.5,111,16.6,26,54.49,11.49,0,15,23,154,24,8.57,16.7,116,393533,'2016-04-11 23:06:00',1084
54.5,153,16.6,26,54.57,11.19,0,15,22,154,24,8.57,15.8,110.1,393533,'2016-04-11 22:24:00',1126
54.5,135,16.6,26,54.54,11.31,0,15,22,154,24,8.57,16.2,113.5,393533,'2016-04-11 22:42:00',1108
54.5,107,16.6,26,54.48,11.51,0,15,23,154,24,8.57,16.7,116,393533,'2016-04-11 23:10:00',1080
54.5,138,16.6,26,54.54,11.29,0,15,22,154,24,8.57,16.2,113.2,393533,'2016-04-11 22:39:00',1111
54.5,102,16.6,26,54.47,11.55,0,15,23,154,24,8.57,16.7,116,393533,'2016-04-11 23:15:00',1075
54.5,102,16.6,26,54.47,11.56,0,15,23,154,24,8.57,16.8,116,393533,'2016-04-11 23:15:00',1075
54.5,101,16.6,26,54.47,11.56,0,15,23,154,24,8.57,16.8,116,393533,'2016-04-11 23:16:00',1074
54.5,137,16.6,26,54.54,11.3,0,15,22,154,24,8.57,16.2,113.2,393533,'2016-04-11 22:40:00',1110
54.5,118,16.6,26,54.51,11.44,0,15,22,154,24,8.57,16.5,114.9,393533,'2016-04-11 22:59:00',1091
54.5,97,16.6,26,54.46,11.59,0,15,23,154,24,8.57,16.9,116,393533,'2016-04-11 23:20:00',1070
54.5,96,16.6,26,54.46,11.59,0,15,23,154,24,8.57,16.9,116,393533,'2016-04-11 23:21:00',1069
54.5,96,16.6,26,54.46,11.6,0,15,23,154,24,8.57,16.9,116,393533,'2016-04-11 23:21:00',1069
54.5,95,16.6,26,54.46,11.61,0,15,23,154,24,8.57,16.9,116,393533,'2016-04-11 23:22:00',1068
54.61,188,17.6,81,54.74,13.07,1,15,3,154,24,8.57,17.1,90,393533,'2016-04-12 03:02:00',848
54.61,187,17.6,81,54.74,13.08,1,15,3,154,24,8.57,17.1,90,393533,'2016-04-12 03:03:00',847
54.5,94,16.6,26,54.46,11.61,0,15,23,154,24,8.57,16.9,116,393533,'2016-04-11 23:23:00',1067
54.61,183,17.6,81,54.74,13.11,1,15,3,154,24,8.57,17.1,90,393533,'2016-04-12 03:07:00',843
54.61,181,17.6,81,54.74,13.13,1,15,3,154,24,8.57,17,90,393533,'2016-04-12 03:09:00',841
54.5,93,16.6,26,54.45,11.62,0,15,23,154,24,8.57,17,116,393533,'2016-04-11 23:24:00',1066
54.5,92,16.6,26,54.45,11.63,0,15,23,154,24,8.57,17.1,116,393533,'2016-04-11 23:25:00',1065
54.5,90,16.6,26,54.45,11.64,0,15,23,154,24,8.57,16.9,116,393533,'2016-04-11 23:27:00',1063
54.5,89,16.6,26,54.45,11.65,0,15,23,154,24,8.57,16.9,116,393533,'2016-04-11 23:28:00',1062
54.5,88,16.6,26,54.44,11.66,0,15,23,154,24,8.57,16.8,116,393533,'2016-04-11 23:29:00',1061
54.61,173,17.6,81,54.74,13.2,1,15,3,154,24,8.57,17.1,90,393533,'2016-04-12 03:17:00',833
54.5,87,16.6,26,54.44,11.66,0,15,23,154,24,8.57,16.6,116,393533,'2016-04-11 23:30:00',1060
