TripID,ID,WeekdayInt,WeekOfYearInt,HourInt,TripDurationInMinutes,RemainingTravelTimeInMinute,shiptype,Length,Breadth,Draught,Latitude,Longitude,SOG,COG,TH
424725,265887928,4,24,20,2307,2126,70,88,12,4.3,54.55,10.79,9.5,87.3,84
424725,266323497,5,24,1,2307,1856,70,88,12,4.3,54.4,11.94,9.7,90.2,86
424725,265891194,4,24,20,2307,2111,70,88,12,4.3,54.56,10.85,9,85.2,84
424725,265893948,4,24,20,2307,2116,70,88,12,4.3,54.56,10.83,9,86.1,84
424725,265895206,4,24,21,2307,2096,70,88,12,4.3,54.56,10.92,9.1,85.4,84
424725,265895825,4,24,20,2307,2103,70,88,12,4.3,54.56,10.89,9,85.1,84
424725,266328687,5,24,5,2307,1610,70,88,12,4.3,54.63,12.88,9.2,68.2,67
424725,265899122,4,24,21,2307,2085,70,88,12,4.3,54.56,10.97,8.9,86.5,84
424725,265900720,4,24,21,2307,2092,70,88,12,4.3,54.56,10.94,9,85.8,84
424725,266332504,5,24,6,2307,1500,70,88,12,4.3,54.73,13.35,9.4,91.6,93
424725,265901620,4,24,21,2307,2095,70,88,12,4.3,54.56,10.92,9.1,85.4,84
424725,265902556,4,24,20,2307,2102,70,88,12,4.3,54.56,10.89,9.1,85.3,84
424725,265904339,4,24,20,2307,2125,70,88,12,4.3,54.55,10.79,9.5,87.5,84
424725,265909286,4,24,21,2307,2077,70,88,12,4.3,54.56,11,8.9,86.4,84
424725,265909549,4,24,20,2307,2101,70,88,12,4.3,54.56,10.9,9.1,85.2,84
424725,265913497,4,24,21,2307,2093,70,88,12,4.3,54.56,10.93,9.1,85.6,84
424725,265914767,4,24,21,2307,2091,70,88,12,4.3,54.56,10.94,9,85.7,84
424725,265915143,4,24,21,2307,2084,70,88,12,4.3,54.56,10.97,8.9,86.4,84
424725,265915509,4,24,20,2307,2110,70,88,12,4.3,54.56,10.86,9,85.7,84
424725,265917815,4,24,21,2307,2069,70,88,12,4.3,54.56,11.04,8.9,87.3,84
424725,265919901,4,24,21,2307,2061,70,88,12,4.3,54.57,11.07,9.3,81.4,77
424725,265920302,4,24,21,2307,2076,70,88,12,4.3,54.56,11.01,8.9,86.6,84
424725,266348102,5,24,10,2307,1262,70,88,12,4.3,54.59,14.36,8.8,102.9,101
424725,265924262,4,24,21,2307,2068,70,88,12,4.3,54.56,11.04,8.9,87.6,84
424725,266348684,5,24,8,2307,1380,70,88,12,4.3,54.67,13.88,8.9,107,105
424725,265925932,4,24,21,2307,2090,70,88,12,4.3,54.56,10.95,9,85.7,84
424725,266353234,5,24,10,2307,1260,70,88,12,4.3,54.59,14.36,8.8,103.2,101
424725,266353392,5,24,1,2307,1853,70,88,12,4.3,54.4,11.95,9.7,90.6,87
